Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1929,Captain Lash,American,John G. Blystone,"Victor McLaglen, Claire Windsor",adventure,https://en.wikipedia.org/wiki/Captain_Lash,"Lash is the head coal stoker on a steam ship whose shipmates have nicknamed ""Captain"". Lash somehow grabs the attention of society dame passenger Cora Nevins. Nevins is actually a jewel thief who's lifted diamonds from wealthy passenger Arthur Condrax. She needs Lash to aid in sneaking the ""ice"" ashore at Singapore. Cocky is Lash's concertina-playing buddy and uses it to signal Lash."
1929,Careers,American,John Francis Dillon,"Billie Dove, Thelma Todd",comedy,https://en.wikipedia.org/wiki/Careers_(film),"In the French colony of Cochin-China, young French magistrate Victor Gromaire (Antonio Moreno) and his wife Hélène (Billie Dove) are virtually prisoners because the colony's president (Noah Beery) is attracted to the wife. The president blocks Victor's career on the bench until his wife agrees to his demands. Victor, angered by this treatment after four years of hard work, secretly goes to the governor of the colony to complain.
Advised by Carouge (Holmes Herbert), a prominent attorney in the colony, as to why her husband's career has been stymied, Hélène tries to save her husband from disaster by pleading with the president, but inadvertently reveals her husband's plan. Afraid for his safety, she consents to do whatever the president wishes, as long as he does nothing to endanger her husband. Just as he is about to take advantage of her offer, he is murdered by a native musician (Kamiyama Sojin) who has been hiding in the room.
Hélène is immediately suspected of the murder, and the musician comes out of hiding and accuses her of the crime. Victor is placed in charge of the investigation and discovers that the musician is lying, and that he is the murderer.
Tired of the dangers of life in the French colony, the couple head back to Paris, where Victor hopes to start a new career.[2]"
1929,The Case of Lena Smith,American,Otto Preminger,"Esther Ralston, James Hall",drama,https://en.wikipedia.org/wiki/The_Case_of_Lena_Smith,"In turn-of-the-century Vienna, simple peasant girl Lena Smith falls in love with young aristocrat Franz Hofrat. They are secretly married, despite intense pressure from Hofrat's aristocratic family, and Lena has Franz's child. Slowly but surely, Lena's good nature and unbounded optimism are crushed and shattered by the merciless juggernaut of class consciousness and public opinion, leading to tragedy. Her husband was jailed for the murder of his brother. Lena met Horan Duwent who promised her a life of wonder, pure happiness. But sadly nothing prevailed, he was not a man of his word and 2 years later Lena took her own life. Crushed by the man she finally felt loved and adored by after so many years of troth and sadness.
In the original script, Lena Smith was a prostitute, but this was written out to avoid audience animosity against the character, and to conform to an early version of the Production Code."
1929,Children of the Ritz,American,John Francis Dillon,"Dorothy Mackaill, Jack Mulhall",drama,https://en.wikipedia.org/wiki/Children_of_the_Ritz,"A spoiled rich girl falls for a poor chauffeur. Their situations are changed when her family loses all their money and he wins $50,000 at a racetrack. They get married, but it's not long before she starts spending their money the way she used to spend hers."
1929,Close Harmony,American,John Cromwell A. Edward Sutherland,"Charles 'Buddy' Rogers, Nancy Carroll",musical,https://en.wikipedia.org/wiki/Close_Harmony_(1929_film),"A musically talented young woman named Marjorie who is part of a stage show, meets a warehouse clerk named Al West who has put together an unusual jazz band. She becomes interested in him and his work and so manages to use her influence to get him into the program for one of the shows at her theatre company.
The manager, Max Mindel has a dislike towards Marjorie so after discovering her affection towards Al, he gives the band notice and hires harmony singers Barney and Bey as a replacement. Marjorie makes up to both men and soon breaks up the duo, getting rid of the competition. Al learns of her scheme, and makes her confess to the singers of her deeds. Barney and Bey make up, and Max gives Al and his band one more chance. Al is a sensation, and Max offers him a contract for $1,000 a week."
1929,The Cocoanuts,American,"Robert Florey, Joseph Santley","Marx Brothers, Mary Eaton",musical comedy,https://en.wikipedia.org/wiki/The_Cocoanuts,"The Cocoanuts is set in the Hotel de Cocoanut, a resort hotel, during the Florida land boom of the 1920s. Mr. Hammer (Groucho Marx) runs the place, assisted by Jamison (Zeppo Marx), who would rather sleep at the front desk than actually help him run it. Chico and Harpo arrive with empty luggage, which they apparently plan to fill by robbing and conning the guests. Mrs. Potter (Margaret Dumont, in the first of seven film appearances with the Marxes) is one of the few paying customers. Her daughter Polly (Mary Eaton) is in love with struggling young architect Bob Adams (Oscar Shaw). He works to support himself as a clerk at the hotel, but has plans for the development of the entire area as Cocoanut Manor. Mrs. Potter wants her daughter to marry Harvey Yates (Cyril Ring), whom she believes to be of higher social standing than the clerk. This suitor is actually a con man out to steal the dowager's diamond necklace with the help of his conniving partner Penelope (Kay Francis)."
1929,Coquette,American,Sam Taylor,"Mary Pickford, Johnny Mack Brown, Matt Moore",drama,https://en.wikipedia.org/wiki/Coquette_(film),"Norma Besant, daughter of a Southern doctor, is an incorrigible flirt and has many suitors. Her father Dr. Besant (John St. Polis) favors Stanley (Matt Moore), who is taken with Norma. However Norma has met a simple man named Michael Jeffrey (Johnny Mack Brown) who she has fallen madly in love with. Dr. Besant disapproves of Michael and orders Norma to never see him again. Norma gives him their word, then promptly plans to marry Michael in 6 months, when he's made 'good in the hills' so he can buy her a home in the valley.
A few months pass and Michael sneaks down from the hills to see Norma at a Country Club dance. Wanting more time alone they sneak off to Michael's mother's cabin. According to Norma they made coffee and talked all night about the future. She returns home the next day at 4am. However someone has spotted the couple and begun to spread rumors around town destroying Norma's reputation. Michael is furious and vows he will ask her father for her hand in marriage immediately.
Dr. Besant is furious and a heated verbal exchange takes place with Michael leaving, vowing to run away with Norma as soon as possible. Dr. Besant orders Norma to her room and leaves, pistol in hand. As Norma's brother tries to distract her Stanley arrives, telling Norma that Michael was fatally wounded by her father.
Norma runs to Michael's cabin where he dies in her arms. Dr. Besant's lawyer friend arrives begging Norma to lie to the police to save her father's life. Norma refuses, but later as the trial wears on she changes her mind. She takes the stand and lies about Michael, trying to save her father. Norma breaks down under cross examination and her father comes to comfort her on the witness stand. As he tells her she does not have to lie anymore, he spots the gun on the evidence table.
After comforting Norma, Dr. Besant approaches the bench and confesses his guilt, saying he has done wrong and is willing to pay the price. He then takes the gun and kills himself in front of the court. Later we see Stanley waiting for Norma, who has been in the judge's chambers. He offers to walk her home, but Norma refuses, saying she would like to walk home alone."
1929,The Cock-Eyed World,American,Raoul Walsh,"Victor McLaglen, Edmund Lowe, Lili Damita",musical comedy,https://en.wikipedia.org/wiki/The_Cock-Eyed_World,"Flagg (Victor McLaglen) and Quirt (Edmund Lowe) find themselves transferred from Russia to Brooklyn to South America, in each place squaring off over a local beauty.
The film remains one of the earliest screen sequels to a critical and popular success with the two lead actors playing the same characters, as well as the original writers and director intact from the first picture."
1929,Dance Hall,American,Melville W. Brown,"Olive Borden, Arthur Lake",musical,https://en.wikipedia.org/wiki/Dance_Hall_(1929_film),"A shipping clerk, Tommy Flynn, engages a young female taxi dancer, Gracie Nolan, and the two gain some success in dance halls, winning several dance contests. As they do, he becomes infatuated with her, but she only has eyes for a pilot, Ted Smith, who wants her as a trophy of his own. Flynn is unsuccessful in his attempts to woo the young Gracie, until the pilot crashes during his attempt at a transcontinental flight. Flynn hides the fact that the pilot is still alive from Gracie, as he attempts to get her to fall in love with him, but when she discovers his subterfuge, she is enraged and rushes off to be with the pilot.
However, when she finds Smith, she uncovers that he has been living with another woman. Devastated, she returns to Tommy, who takes her back. Reunited the two lovers become a successful dancing team."
1929,The Dance of Life,American,John Cromwell A. Edward Sutherland,"Hal Skelly, Nancy Carroll, Dorothy Revier",musical comedy,https://en.wikipedia.org/wiki/The_Dance_of_Life,"Burlesque comic Ralph ""Skid"" Johnson (Skelly), and specialty dancer Bonny Lee King (Carroll), end up together on a cold, rainy night at a train station, after she fails an audition and he complains about her treatment by the impresario of the show and quits. They decide to team up and apply for work with a much better show on ""the big wheel"".
The two things they have in life are dancing and each other, if she could only keep him away from the booze, long enough to keep dancing.
A tragi-comedic, burlesque version of All That Jazz, from an earlier era."
1929,Dangerous Curves,American,Lothar Mendes,"Clara Bow, Richard Arlen, Kay Francis",romantic comedy,https://en.wikipedia.org/wiki/Dangerous_Curves_(1929_film),"Pat Delaney is working in a circus as one of the female bareback riders. She is in love with Larry Lee, an arrogant trapeze artist and the circus' biggest act. He does not seem to notice her, though, as he is used to being adored by tons of women. He is in a relationship with Zara, a manipulative vamp.
Larry's boss warns him about Zara, explaining that he has been incurring a lot of debts since he began dating her and that his act is no longer as powerful as in the past. One day, Pat and Larry get acquainted and she intimates that she has feelings about him and that they should do an act together. Although he makes clear that his heart belongs to someone else, he convinces the circus manager to give Pat a try on the wire.
Later that day, Pat catches Zara having a date with another man, Tony. When she tells Larry about the affair, he madly confronts Zara and threatens to beat up Tony. He is interrupted by the notion that he has to perform, but he is unable to concentrate and falls off the tight-rope. He is taken to the hospital and soon recovers, but then goes missing from the circus. He refuses to come back and spends his time getting drunk instead. When he finds out that Zara and Tony have left the circus and are now struggling to get work, he sympathizes with them. Upon finding out that he is not planning on returning to the circus, Pat is determined to convince him to do otherwise. Together they form an act, but it soon becomes clear that Larry has lost his talent.
Pat has trouble breaking through his distant behavior, but she convinces him to teach her how to walk a tight-rope. During this progress, he finds his talent again and urges Zara to come back to work on the greatest tight-rope act in history. When Pat finds out, she feels used and confronts Larry with an outburst before leaving in tears. The circus manager tries to comfort her and offers her her own wire act. Meanwhile, Larry is left behind by Zara, who turns out to have married Tony. On the night of her premiere, a drunken Larry tells Pat about his failure. As she tries to comfort him, she misses her premiere and is fired. Larry has collapsed in the meanwhile and Pat decides to pose as him on stage. When Larry awakens, he shows his gratitude and kisses her."
1929,A Dangerous Woman,American,Rowland V. Lee Gerald Grove,"Olga Baclanova, Clive Brook",drama,https://en.wikipedia.org/wiki/A_Dangerous_Woman_(1929_film),Olga Baclanova (billed as Baclanova) stars as Tania Gregory and Clive Brook plays her husband Frank Gregory. The film is set at an outpost in British East Africa.[3]
1929,The Delightful Rogue,American,"Lynn Shores, Leslie Pearce","Rod La Rocque, Rita La Roy",romantic comedy,https://en.wikipedia.org/wiki/The_Delightful_Rogue,"Lastro is a modern-day pirate who hijacks a yacht and heads into the tropic port of Tapit. He is wanted for a variety of offenses, including murder and robbery. Upon his arrival, he is recognized by a local native leader, Junipero, who recognizes him, but takes a bribe to not turn him in. While in Tapit, he sees an American dancer, Nydra, who he is immediately attracted to. Nydra is also being pursued by Harry Beall, the heir to a wealthy American family, yet Nydra is intrigued by Lastro's self-assurance and audacity.
Lastro is betrayed by Junipero, who brings the police to arrest Lastro. In the ensuing melee, Lastro overcomes both Junipero and the police, as well as easily brushing aside Beall. To secure his safe escape, Lastro takes Beall as a hostage back to his yacht. Nydra appears to beg Lastro to let Beall go, which Lastro agrees to, on one condition: Nydra must spend the night with Lastro in his cabin aboard the yacht. Nydra agrees. While they spend the night in the cabin, nothing untoward happens, with the two simply spending the time talking and getting to know each other. Nydra is impressed with Lastro's gallantry. However, Beall has spent the night imagining the worst, and his jealous reactions in the morning completely turn Nydra off. Disgusted with his behavior, Nydra sets sails with the gallant pirate, Lastro."
1929,Desert Nights,American,William Nigh,"John Gilbert, Ernest Torrence",drama,https://en.wikipedia.org/wiki/Desert_Nights,"A gang of thieves rob an African diamond company of diamonds worth $500,000, with two of its members posing as Lord and Lady Stonehill (who are expected to pay a visit). They kidnap its manager, Hugh Rand, and head into the ""Calahari"" Desert. After a few days in the sweltering heat, three of the crooks decide to take their chances in Cape Town instead and demand their share of the loot. Steve (""Lord Stonehill"") gives them worthless glass.
He and Diana (""Lady Stonehill"") keep going, taking Hugh with them. When their native porters desert, however, the thieves are forced to rely on Hugh to guide them. He gains the upper hand as they trek through the hostile desert with very little water. Later, one of the other crooks returns and tells them that the other two died from drinking from a poisoned waterhole, before succumbing himself. Steve reveals he poisoned the water to deter pursuit. Hugh keeps tensions high by romancing Diana, infuriating Steve. As they get thirstier and thirstier, a parched Diana offers Hugh first the diamonds, then herself, in exchange for some of the water. When he rejects both, she even offers to be his slave, but with the same result. Eventually, they reach a safe waterhole.
However, Hugh has been leading them in a circle, and they finally end up back at the diamond company office. Steve is first introduced to the real Lord and Lady Stonehill, before being taken away. Diana's fate is left in Hugh's hands. He tells her she is free, except that she will have to report to him every day for the rest of her life. Then he embraces her."
1929,The Desert Song,American,Roy del Ruth,"John Boles, Carlotta King",operetta,https://en.wikipedia.org/wiki/The_Desert_Song_(1929_film),"French General Birabeau has been sent to Morocco to root out and destroy the Riffs, a band of Arab rebels, who threaten the safety of the French outpost in the Moroccan desert. Their dashing, daredevil leader is the mysterious ""Red Shadow"". Margot Bonvalet, a lovely, sassy French girl, is soon to be married at the fort to Birabeau's right-hand man, Captain Fontaine. Birabeau's son Pierre, in reality the Red Shadow, loves Margot, but pretends to be a milksop to preserve his secret identity. Margot tells Pierre that she secretly yearns to be swept into the arms of some bold, dashing sheik, perhaps even the Red Shadow himself. Pierre, as the Red Shadow, kidnaps Margot and declares his love for her.
To her surprise, Margot's mysterious abductor treats her with every Western consideration. When the Red Shadow comes face to face with General Birabeau, the old man challenges the rebel leader to a duel. Of course Pierre will not kill his own father, so he refuses to fight, losing the respect of the Riffs. Azuri, the sinuous and secretive native dancing girl, might be persuaded to answer some of these riddles if only she can be persuaded by Captain Fontaine. Meanwhile, two other characters, Benny (a reporter) and Susan provide comic relief. Eventually, the Red Shadow's identity is discovered, a deal is struck with the Riffs, and Pierre and Margot live happily ever after.
After 1935, the original 1929 version became impossible to exhibit in the United States due to its pre-Production Code era content, which included sexual innuendo, lewd suggestive humor, and open discussion of themes such as homosexuality (e.g. Johnny Arthur plays a character who is obviously gay).[citation needed] Consequently, a cleaned-up remake was released in 1943, with a third version following in 1953.[citation needed]"
1929,Disraeli,American,Alfred E. Green,"George Arliss, Joan Bennett",drama,https://en.wikipedia.org/wiki/Disraeli_(1929_film),"In 1874, Disraeli's ambitious foreign policy, aimed at creating a British empire, is voted down by the House of Commons after a speech by his great rival, William Gladstone. Later, Disraeli receives the welcome news that the spendthrift Khedive of Egypt is in dire need of money and is willing to sell the controlling shares in the Suez Canal. The purchase of the canal would secure control of India, but Michael Probert, head of the Bank of England, makes it clear to Disraeli that he is vehemently opposed to any such plan. Disraeli then summons Hugh Myers, a leading Jewish banker.
Meanwhile, Lord Charles Deeford proposes to Lady Clarissa Pevensey. Although she is in love with him, she turns him down. He is content to enjoy his wealth and high social standing, and lacks the ambition she wants in a husband; further, she is a great admirer of the Prime Minister and Charles has no strong opinion about him. Disraeli, seeing promise in the young man and wanting Clarissa to be happy, convinces Charles to come work for him, and tells him about the canal purchase.
But he does not tell him about the spies. Russia, eager to seize India for itself, has assigned two spies to watch Disraeli: Mrs. Travers, who has entree to the highest social circles, and Mr. Foljambe. Disraeli was not fooled; he has hired Foljambe as his personal government secretary, the better to deceive him. When Foljambe asks Charles if Myers is there to provide financial backing for the purchase of the canal, Charles says nothing, but his manner makes it clear that Foljambe has guessed correctly. Mrs. Travers orders Foljambe to leave the country and warn their masters.
Disraeli soon discovers what has happened. When he decides to send an agent to the khedive immediately, Clarissa suggests he send Charles. Charles persuades the khedive to accept Myers' cheque in exchange for the shares, also proving his own worth to Clarissa.
Disraeli is elated when he receives the news. However, Myers comes and informs him that his banking house has been driven into bankruptcy by sabotage; the cheque is worthless. Disraeli tells him to keep his situation secret for the moment. When the prying Mrs. Travers arrives, Disraeli allows her to learn of the purchase, and she exultantly admits to her key part in sabotaging Myers.
Thinking quickly, Disraeli summons Probert. Though the banker initially refuses to help, Disraeli forces him to sign a paper giving unlimited credit to Myers by threatening to have Parliament revoke the bank's charter. (After Probert leaves, Disraeli confesses to his wife and Clarissa that he was bluffing.) Myers' solvency is restored, the deal is completed, and as a result of Disraeli's success, Queen Victoria can add Empress of India to her other titles."
1929,The Divine Lady,American,Frank Lloyd,"Corinne Griffith, Victor Varconi",historical,https://en.wikipedia.org/wiki/The_Divine_Lady,"In the late eighteenth century, Lady Hamilton has had a somewhat turbulent relationship with the British people, especially the aristocracy. Born Emma Hart from a very humble background (she being the daughter of a cook), she was seen as being vulgar by the rich, but equally captivating for her beauty. In a move to protect his inheritance, Honorable Charles Greville, Emma's then lover and her mother's employer, sent Emma to Naples under false pretenses to live with his uncle, Sir William Hamilton, where she would study to become a lady. Surprisingly to Greville whose deception Emma would eventually discover, Emma ended up becoming Hamilton's wife in a marriage of convenience. But it is Emma's eventual relationship with Horatio Nelson of the British navy that would cause the largest issue. A move by Lady Hamilton helped Nelson's armada defeat Napoleon's fleet in naval battles, which Nelson would have ultimately lost without Lady Hamilton's help. Beyond the dangers of war, Lady Hamilton and Nelson's relationship is ultimately threatened by the court of public opinion as both are married to other people."
1929,The Donovan Affair,American,Frank Capra,"Jack Holt, Dorothy Revier",comedy mystery,https://en.wikipedia.org/wiki/The_Donovan_Affair,"After the lights go out at a fancy party, Jack Donovan (John Roche) turns up dead. Inspector Killian (Jack Holt) is called to the scene. As part of the investigation, he calls for a re-enactment of the events leading up to the murder. The lights go out, and another person turns up dead. Inspector Killian again calls for a re-enactment.[2][3]"
1929,Drag,American,Frank Lloyd,"Richard Barthelmess, Alice Day",drama,https://en.wikipedia.org/wiki/Drag_(film),"Young David Carroll takes over the publication of a local newspaper in Vermont. Although he is attracted to Dot, ""the most sophisticated girl in town,"" he marries Allie Parker, daughter of the couple who run the boardinghouse where he lives. In separation rom her parents, Allie remains at home when David goes to New York City to sell a musical he has written. There, Dot, now a successful costume designer, uses her influence to get David's play produced. David and Dot fall in love, but she leaves for Paris when David indicates he will remain true to Allie. He sends for Allie; but when she arrives with her whole family, he decides to follow Dot to Paris."
1929,Dynamite,American,Cecil B. DeMille,"Conrad Nagel, Kay Johnson",drama,https://en.wikipedia.org/wiki/Dynamite_(1929_film),"Coal miner Hagon Derk (Charles Bickford) is sentenced to hang for murder. His only concern is for his young sister Katie (Muriel McCormac), who will be left all alone. Frivolous socialite Cynthia Crothers (Kay Johnson) has her own troubles. By the terms of her grandfather's will, if she is not married by her twenty-third birthday (only a month away), she will not inherit his millions and will be left penniless. She is ""engaged"" to Roger Towne (Conrad Nagel), but he is married to Marcia (Julia Faye). Marcia has her own lover, Marco (Joel McCrea), and is willing to grant Roger a divorce ... for the right price. The two women haggle behind Roger's back and settle on $100,000.
Hagon, desperate to provide for Katie, offers his body for $10,000 in a newspaper ad. Cynthia sees it and goes to see him. She offers him the money in exchange for him marrying her. He accepts. Just minutes before Hagon's execution though, the real killer is goaded into attacking a man with a gun and is fatally shot. He confesses before dying, and Hagon is released.
Hagon goes to see his stunned wife. When her friends show up to party the night away, he sees Cynthia writing a $25,000 check as down payment to Marcia and discussing the terms of their agreement. In a confrontation between the group, Hagon grabs the check stashed in Marcia's garter, showing it to Roger as proof that he's been made a pawn. Roger tells Cynthia that he will settle with Marcia himself but if Cynthia gives her the check, they're through. Cynthia rips up the check as Marcia threatens to expose the plot. The pair go downstairs where Cynthia reveals to the party happening that she married another man. Hagon reveals himself as her husband and the party devolves into a crude mockery of the marriage, bringing reality to Cynthia's fear of being made a laughingstock. Having had enough, Hagon throws out the partygoers which frightens the men and arouses the women. Cynthia shows little appreciation for the act of saving her from the mockery and locks herself in her room. Hagon resolves to return her money and breaks down her door to speak to her. After a brief confrontation, Hagon flings $10,000 at her and leaves.
When Cynthia is informed that she must actually be living with her husband on her birthday, she drives to his mining town. He refuses to go back to her palatial apartment, so she persuades him to let her stay with him. He agrees on condition that she cook and clean, just like a real wife, and locks up her fancy car in his tool shed. Her first attempt at preparing a meal is a dismal failure. Katie kindly helps out and keeps it a secret from Hagon, but Cynthia confesses on her own. Hagon tells her it is the first honest thing he has seen her do.
The next day, while shopping at the local store, Cynthia buys a gift for a young boy. His mother objects, but the child runs away with his present and is hurt in a traffic accident. The doctor says that only a brain specialist in the city can save him, but the boy only has hours to live. Cynthia breaks into the tool shed, speeds away in her car and returns with the specialist. The child is saved.
Hagon returns from work to find the door of his tool shed demolished and learns that Cynthia withdrew $2,000 from the bank (to pay the specialist). He assumes that she got tired of his way of life and went to see Roger. When Hagon demands an explanation, Cynthia is too disheartened to reply. She telephones Roger to come for her. However, the child's mother tells Hagon what Cynthia has done.
When Roger shows up, he insists on seeing Hagon before leaving. They go down into the bowels of the mine to find him. A cave-in traps the trio with only fifteen minutes worth of air. Hagon finally confesses he loves Cynthia. Then he realizes there is a way out. He quickly packs a stick of dynamite into a wall; there is another chamber on the other side with enough air to sustain them until they can be rescued. However, without a fuse cap, someone will have to strike the dynamite with a sledgehammer to set it off. After arguing, the two men toss a coin for the privilege. Roger ""wins"", but Hagon wrestles the sledgehammer away from him. After Cynthia whispers something to Roger, he tells Hagon that Cynthia loves Roger wants to say goodbye to him. When Hagon goes to Cynthia, he asks her to get on with saying what she needs to say. Confused, she reveals that she said she loves Hagon. With the two safely out of the way, Roger sets off the dynamite and is blown to pieces."
1929,Eternal Love,American,Ernst Lubitsch,"John Barrymore, Camilla Horn",historical drama,https://en.wikipedia.org/wiki/Eternal_Love_(1929_film),"In 1806 in the village of Pontresina, Switzerland, a mountain man named Marcus (John Barrymore) is in love with Ciglia (Camilla Horn), a young village woman who has been rejecting the advances of Lorenz (Victor Varconi). The mischievous Pia (Mona Rico) throws herself at Marcus, but she is also rejected. Marcus and Ciglia profess their love, while the jealous and vindictive Pia looks on.
Following the end of the French Army occupation, the people of Pontresina celebrate their liberation with a boisterous masked dance. At the party Ciglia becomes frightened of a drunken Marcus and she asks to be taken home. Marcus goes home confused. When Pia boldly attempts to seduce Marcus, he accepts her advances. The next day Ciglia receives permission from her uncle Tass (Hobart Bosworth) to marry Marcus. Pia and her mother approach Tass, and then confront Marcus. With Ciglia overhearing, they demand that Marcus marry Pia, who plays the cowering innocent. Ciglia leaves Marcus, and Marcus and Pia get married. Lorenz soon takes advantage of Ciglia and eventually they also get married.
During a heavy snowstorm, Pia is worried about Marcus and tries to form a rescue party to find him. With no one willing to join, she turns to Lorenz and Ciglia. Ciglia overreacts to the news, making Lorenz suspicious about her affections. Ciglia soon discovers Marcus safely arriving in the village. Consumed in jealously and sorrow, Lorenz confronts Marcus, urging him to leave the village, even offering him money, but Marcus refuses.
Later in the mountains, Lorenz ambushes Marcus and the two exchange gunfire. Marcus returns to the village, followed by the accusing and dying Lorenz. The villagers turn against Marcus despite Ciglia's cries of his innocence. Pia falsely accuses Ciglia of putting Marcus up to the murder of Lorenz. Soon the villagers turn into a mob and pursue Marcus and Ciglia into the mountains. With no other recourse, Marcus and Ciglia walk hand in hand into the path of an avalanche."
1929,Fancy Baggage,American,John G. Adolfi,"Audrey Ferris, Myrna Loy",drama,https://en.wikipedia.org/wiki/Fancy_Baggage,"Naomi Iverson learns that her father has assumed the blame for engaging in an illegal stock pool and is to be sentenced by the Federal Government to 5 years in prison. In return, Iverson will receive a check for $1 million from John Hardin, his former partner and now his bitterest enemy. She appropriates the check and goes to Hardin's yacht hoping to recover the written ""confession."" There she meets and falls in love with Hardin's son, Ernest. Complications set in when Iverson arrives and is set adrift by Tony, leader of a gang of rumrunners. Tony, who covets Naomi, gets involved in a fight with Ernest; Tony corners her, but she is rescued by Ernest. The revenue officers seize the rum boat and arrest the two old men as bootleggers. When Naomi and Ernest confront their fathers with their love, the fathers bow to necessity and once again become friends."
1929,Fast Company,American,A. Edward Sutherland,"Evelyn Brent, Jack Oakie",comedy,https://en.wikipedia.org/wiki/Fast_Company_(1929_film),"Egomaniacal baseball slugger Elmer Kane is not only good, he enjoys telling everybody how good he is. A professional scout, Bert Wade, takes an interest in Elmer, who in turn takes an interest in Evelyn Corey, an attractive actress.
Wade cons the ballplayer into thinking the actress is falling for him, which inspires a home run from Elmer to win the big game."
1929,Flight,American,Frank Capra,"Jack Holt, Lila Lee",adventure,https://en.wikipedia.org/wiki/Flight_(1929_film),"College football player Lefty Phelps (Ralph Graves) causes his school to lose the big game when he gets disoriented after a tackle and runs the wrong way. After being treated decently by gruff U.S. Marine Corps Sergeant ""Panama"" Williams (Jack Holt), a spectator, Phelps decides to enlist in the Marines himself. He is selected to attend pilot training school at Naval Air Station Pensacola, where Williams is a flying instructor. When Williams finally recognizes Lefty, he befriends him and takes him under his wing. On his first attempt at solo flight, however, Lefty is taunted about the football game by fellow recruit Steve Roberts (Harold Goodwin), and cannot take off, resulting in a crash. Panama rescues Lefty from the burning aircraft, suffering burns to his hands. Lefty is ""washed out"" by his squadron commander, Major Rowell (Alan Roscoe).
Lefty is taken to the base hospital, where he falls for Navy nurse Elinor Murray (Lila Lee). When the ""Flying Devils"" squadron is sent to quell bandit attacks by the notorious General Lobo in Nicaragua, Panama arranges for Lefty to accompany him as his mechanic. Panama shows Lefty a photograph of Elinor, the love of his life, not knowing Lefty is in love with her too. When Elinor is sent to Nicaragua, she does not understand the guilt-stricken Lefty's cool reception. When the girl-shy Panama asks Lefty to propose to Elinor on his behalf, Elinor confesses her love for him instead, after which Panama accuses Lefty of betrayal.
An urgent call for help by a Marine outpost under bandit attack stops any confrontation. Lefty flies as gunner for Steve Roberts, who makes fun of him about shooting in the right direction. During the mission, their aircraft is shot down in a swamp. Unwilling to join in the rescue, Panama reports in sick, but once Elinor convinces him that Lefty never betrayed him, he flies his own solo rescue mission. At the crash site, Roberts dies of his injuries and is cremated by Lefty using their aircraft as a funeral pyre. Panama finds Lefty but is wounded by bandits led by General Lobo, after his landing. Lefty kills the attacking bandits, takes off, and brings the pair back, putting on an impressive flying display over the base that includes safely landing the aircraft after it loses a wheel. Sometime later, Lefty has won his wings and is now an instructor at the school, married to Elinor. When his wife arrives in their new car, Lefty accidentally pulls away in reverse."
1929,The Flying Fleet,American,George W. Hill,"Ramon Navarro, Ralph Graves, Anita Page",romantic drama,https://en.wikipedia.org/wiki/The_Flying_Fleet,"Six friends are to graduate the next day from the United States Naval Academy. They all hope to become aviators. When the officer of the day becomes sick, Tommy Winslow (Ramon Navarro) has to take his place, while the others go out and celebrate. Two return loudly drunk after curfew. Tommy is able to shut Steve (Ralph Graves) up (by knocking him out), but ""Dizzy"" is not so lucky. An officer hears him and has him dismissed from the Academy.
The rest spend a year in the fleet, then reunite in San Diego for aviation training. Upon their arrival, they become acquainted with the beautiful Anita Hastings (Anita Page). Tommy and Steve become rivals for her affections.
Specs is rejected for training because of his bad eyesight. The remaining four then head to training school in Pensacola, Florida. Kewpie panics on his first flight, forcing his instructor to knock him out to regain control of their trainer biplane, while ""Tex"" loses control during his first solo flight and crashes into the sea. Tommy and Steve pass and are promoted to lieutenant. Upon their return to San Diego, they are reunited with Specs, now an aerial navigator, and Kewpie, the radio officer of the USS Langley, the Navy's first aircraft carrier.
The romantic rivalry between Tommy and Steve takes an ugly turn when it becomes apparent that Anita prefers Tommy. Steve resorts to underhanded tricks, straining his friendship with Tommy. In retaliation for Steve hiding his uniform pants during a swimming outing with Anita, Tommy buzzes Steve on the airfield after a mock aerial dogfight he has won. The admiral is greatly displeased, and deprives Tommy of the honor of piloting a pioneering 2,500-mile (4,000 km) flight to Honolulu, awarding it to Steve instead.
Steve takes off, with Specs as his navigator. However, they run into a severe storm and crash into the ocean before the radio operator can report their position. All four of the crew survive and make it to the floating aircraft wing, but Specs is badly injured. The admiral, following in the Langley aircraft carrier, immediately orders an all-out aerial search. As the days go by, Steve and the others save the little fresh water for Specs, despite his protests; finally, while the others are asleep, Specs drags himself into the water and drowns himself. Meanwhile, the admiral is ordered to give up his fruitless search. Tommy pleads with him for one last attempt, and the admiral agrees. Tommy finally spots the survivors, but his engine conks out. He sets his aircraft on fire as a signal to the Langley and parachutes into the water. When they return to San Diego, Anita is waiting for him."
1929,Footlights and Fools,American,William A. Seiter,"Colleen Moore, Raymond Hackett, Fredric March",musical comedy,https://en.wikipedia.org/wiki/Footlights_and_Fools,"Moore plays the ""dual"" role of a French singer in America who was originally an American chorus girl in France to acquire a new persona."
